FECHA_VENTA,DIA_COMERCIAL,CIUDAD,DEPARTAMENTO,TIPO,MARCA,VALOR_TOTAL
2021-06-09,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,MOTOROLA,768520.0
2021-06-03,0,MEDELLIN,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-03,0,ENVIGADO,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,TUNJA,BOYACA,TELEFONO,SAMSUNG,1359570.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,79520.0
2021-06-04,0,CUCUTA,NORTE DE SANTANDER,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,SIBUNDOY,PUTUMAYO,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,CHIGORODO,ANTIOQUIA,TELEFONO,XIAOMI,578520.0
2021-06-05,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,1359570.0
2021-06-04,0,EL ROSAL,CUNDINAMARCA,TELEFONO,XIAOMI,356520.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,1459520.0
2021-06-04,0,YOPAL,CASANARE,TELEFONO,XIAOMI,499520.0
2021-06-04,0,SOACHA,CUNDINAMARCA,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,SOATA,BOYACA,TELEFONO,XIAOMI,795520.0
2021-06-04,0,VILLAVICENCIO,META,TELEFONO,SAMSUNG,2608570.0
2021-06-10,0,SAN JOSE DEL GUAVIARE,GUAVIARE,TELEFONO,XIAOMI,1633520.0
2021-06-03,0,FLORENCIA,CAQUETA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,BARRANQUILLA,ATLANTICO,TELEFONO,XIAOMI,795520.0
2021-06-03,0,FLORENCIA,CAQUETA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,FUNDACION,MAGDALENA,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,CALI,VALLE DEL CAUCA,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,TOGUI,BOYACA,TELEFONO,SAMSUNG,1097520.0
2021-06-08,0,SUAITA,SANTANDER,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-03,0,LA TEBAIDA,QUINDIO,TELEFONO,SAMSUNG,7965520.0
2021-06-04,0,GARZON,HUILA,TELEFONO,XIAOMI,795520.0
2021-06-16,0,SUTAMARCHAN,BOYACA,TELEFONO,SAMSUNG,795520.0
